# Program:featureCounts v2.0.3; Command:"featureCounts" "-g" "gene_id" "-a" "/content/GCF_000146045.2_R64_genomic.gtf" "-o" "output_featurecounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
gene-YAR019C	NC_001133.9	172211	175135	-	2925	317	442	43	107
gene-YAR020C	NC_001133.9	176856	177023	-	168	13	7	0	13
gene-YAR023C	NC_001133.9	179281	179820	-	540	163	207	11	34
gene-YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	0	0	0	0
gene-YNCA0006C	NC_001133.9	182522	182603	-	82	0	0	0	0
gene-YAR027W	NC_001133.9	183770	184477	+	708	797	665	20	96
gene-YAR028W	NC_001133.9	184892	185596	+	705	267	295	14	54
gene-YAR029W	NC_001133.9	186321	186545	+	225	71	62	7	29
gene-YAR031W	NC_001133.9	186836	187732	+	897	19	21	2	7
gene-YAR033W	NC_001133.9	188107	188811	+	705	15	13	0	2
gene-YAR035W	NC_001133.9	190193	192256	+	2064	8898	2717	77	108
gene-YAR035C-A	NC_001133.9	192337	192417	-	81	14	7	0	0
gene-YAR042W	NC_001133.9	192619	196185	+	3567	1336	854	80	219
gene-YAR050W	NC_001133.9	203403	208016	+	4614	157	138	6	13
gene-YAR061W	NC_001133.9	218140	219145	+	1006	11	17	1	1
gene-YAR064W	NC_001133.9	220198	220497	+	300	2	5	0	4
gene-YAR066W	NC_001133.9	221049	221660	+	612	1	2	0	2
gene-YAR068W	NC_001133.9	222406	222891	+	486	14	102	3	6
gene-YAR071W	NC_001133.9	225460	226863	+	1404	56	36	2	20
gene-YBL113C	NC_001134.8	280	2658	-	2379	224	243	11	47
gene-YBL112C	NC_001134.8	2582	2899	-	318	0	0	0	0
gene-YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	1	1	0	0
gene-YBL108C-A	NC_001134.8	7605	7733	-	129	3	0	0	0
gene-YNCB0001W	NC_001134.8	9583	9666	+	84	1	0	0	1
gene-YBL107C	NC_001134.8	9961	10551	-	591	261	362	41	128
gene-YBL106C	NC_001134.8	10847	13879	-	3033	266	204	14	74
gene-YBL105C	NC_001134.8	14241	17696	-	3456	2023	1527	129	420
gene-YBL104C	NC_001134.8	18177	21293	-	3117	218	337	55	223
gene-YBL103C	NC_001134.8	22076	23536	-	1461	566	373	56	255
gene-YBL102W	NC_001134.8	24098	24745	+	648	810	833	46	244
gene-YBL101C	NC_001134.8	24946	28299	-	3354	844	547	43	135
gene-YBL100W-C	NC_001134.8	28427	28546	+	120	18	14	1	2
gene-YBL100W-A	NC_001134.8	29935	31251	+	1317	0	0	0	0
gene-YBL100W-B	NC_001134.8	29935	35248	+	5314	20	12	8	31
gene-YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	0	1	0	0
gene-YBL099W	NC_001134.8	37053	38690	+	1638	10472	17860	284	1190
gene-YBL098W	NC_001134.8	39145	40527	+	1383	135	306	26	130
gene-YBL097W	NC_001134.8	40831	43095	+	2265	29	81	6	22
gene-YBL095W	NC_001134.8	43277	44089	+	813	433	665	276	1023
gene-YBL093C	NC_001134.8	44256	44918	-	663	299	278	647	1882
gene-YBL092W	NC_001134.8	45978	46370	+	393	1984	4223	4148	17985
gene-YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	107	238	12	61
gene-YBL091C	NC_001134.8	47363	48628	-	1266	1411	2268	250	1081
gene-YBL090W	NC_001134.8	48825	49358	+	534	342	880	78	274
gene-YBL089W	NC_001134.8	49574	50953	+	1380	64	81	71	240
gene-YBL088C	NC_001134.8	51019	59382	-	8364	569	447	65	299
gene-YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	307	883	1259	5167
gene-YBL086C	NC_001134.8	61202	62602	-	1401	676	593	58	197
gene-YBL085W	NC_001134.8	63876	66818	+	2943	221	357	58	204
gene-YBL084C	NC_001134.8	67169	69445	-	2277	537	382	147	374
gene-YBL082C	NC_001134.8	69751	71127	-	1377	207	469	96	394
gene-YBL081W	NC_001134.8	71866	72972	+	1107	33	55	233	742
gene-YBL080C	NC_001134.8	73070	74695	-	1626	64	156	6	68
gene-YBL079W	NC_001134.8	75259	79767	+	4509	295	452	200	735
gene-YBL078C	NC_001134.8	80378	80731	-	354	4825	2480	72	136
gene-YBL076C	NC_001134.8	81043	84261	-	3219	383	954	972	2994
gene-YBL075C	NC_001134.8	84499	86448	-	1950	23663	3063	301	385
gene-YBL074C	NC_001134.8	86722	87789	-	1068	192	98	38	95
gene-YNCB0003W	NC_001134.8	88190	88277	+	88	4	8	1	8
gene-YBL072C	NC_001134.8	88523	89125	-	603	1920	3394	1815	6763
gene-YBL071C-B	NC_001134.8	89458	89556	-	99	7	9	10	37
gene-YBL071W-A	NC_001134.8	89978	90226	+	249	324	165	214	797
gene-YBL071C	NC_001134.8	90223	90531	-	309	140	89	88	375
gene-YBL069W	NC_001134.8	90741	92030	+	1290	135	191	235	833
gene-YBL068W	NC_001134.8	92414	93394	+	981	285	521	311	1166
gene-YBL067C	NC_001134.8	93639	95882	-	2244	995	676	91	346
gene-YBL066C	NC_001134.8	96669	100115	-	3447	506	821	67	209
gene-YBL064C	NC_001134.8	100371	101156	-	786	11473	7172	155	609
gene-YBL063W	NC_001134.8	101886	105221	+	3336	71	116	9	48
gene-YBL061C	NC_001134.8	105316	107406	-	2091	157	185	142	536
gene-YBL060W	NC_001134.8	107932	109995	+	2064	159	190	50	190
gene-YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	220	563	14	97
gene-YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	38	102	20	63
gene-YBL058W	NC_001134.8	111437	112708	+	1272	2709	2608	126	564
gene-YBL057C	NC_001134.8	112801	113427	-	627	170	371	72	356
gene-YBL056W	NC_001134.8	113762	115168	+	1407	479	1371	198	659
gene-YBL055C	NC_001134.8	115573	116829	-	1257	290	278	108	315
gene-YBL054W	NC_001134.8	117589	119166	+	1578	304	200	400	1114
gene-YBL052C	NC_001134.8	119379	121874	-	2496	75	89	39	124
gene-YBL051C	NC_001134.8	122753	124759	-	2007	553	873	71	208
gene-YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	2179	1827	167	597
gene-YBL049W	NC_001134.8	126828	127244	+	417	2306	708	132	297
gene-YBL048W	NC_001134.8	127299	127610	+	312	583	202	32	103
gene-YBL047C	NC_001134.8	127895	132040	-	4146	2398	2291	88	310
gene-YBL046W	NC_001134.8	132424	133749	+	1326	212	285	42	145
gene-YBL045C	NC_001134.8	134143	135516	-	1374	7552	9998	201	756
gene-YBL044W	NC_001134.8	135998	136366	+	369	2	1	1	7
gene-YBL043W	NC_001134.8	136688	137461	+	774	103	167	38	89
gene-YBL042C	NC_001134.8	138341	140260	-	1920	354	200	905	2285
gene-YBL041W	NC_001134.8	141247	141972	+	726	2475	2986	210	903
gene-YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	325	532	85	364
gene-YBL039W-B	NC_001134.8	143393	143572	+	180	268	210	3	13
gene-YBL039C	NC_001134.8	143989	145728	-	1740	46	148	1358	4373
gene-YBL038W	NC_001134.8	146187	146885	+	699	434	930	117	447
gene-YBL037W	NC_001134.8	147209	150286	+	3078	260	297	26	127
gene-YBL036C	NC_001134.8	150447	151220	-	774	544	567	249	1034
gene-YBL035C	NC_001134.8	151493	153610	-	2118	33	149	17	44
gene-YBL034C	NC_001134.8	153848	158389	-	4542	118	146	21	140
gene-YBL033C	NC_001134.8	158656	159693	-	1038	612	758	392	1019
gene-YBL032W	NC_001134.8	160184	161329	+	1146	143	289	103	376
gene-YBL031W	NC_001134.8	161699	162715	+	1017	4	25	3	31
gene-YBL030C	NC_001134.8	163041	163997	-	957	2379	8135	408	1484
gene-YBL029C-A	NC_001134.8	164488	164772	-	285	1678	1688	75	203
gene-YBL029W	NC_001134.8	166134	167264	+	1131	453	409	460	1217
gene-YBL028C	NC_001134.8	167518	167838	-	321	53	82	524	1967
gene-YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	2511	4874	3567	14852
gene-YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	621	703	179	591
gene-YBL025W	NC_001134.8	171481	171918	+	438	114	100	56	187
gene-YBL024W	NC_001134.8	172534	174588	+	2055	115	290	726	2167
gene-YBL023C	NC_001134.8	174920	177526	-	2607	140	327	104	228
gene-YBL022C	NC_001134.8	177874	181275	-	3402	810	1633	75	282
gene-YBL021C	NC_001134.8	181660	182094	-	435	44	140	36	134
gene-YBL020W	NC_001134.8	182401	184125	+	1725	189	252	77	341
gene-YBL019W	NC_001134.8	184353	185915	+	1563	298	365	42	118
gene-YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	26	53	25	94
gene-YBL017C	NC_001134.8	186844	191583	-	4740	1099	1300	65	239
gene-YBL016W	NC_001134.8	192451	193512	+	1062	42	30	1	5
gene-YBL015W	NC_001134.8	194122	195702	+	1581	5083	4112	83	186
gene-YNCB0004W	NC_001134.8	197494	197567	+	74	0	0	0	0
gene-YNCB0005C	NC_001134.8	197629	197699	-	71	0	0	0	0
gene-YBL014C	NC_001134.8	199064	201748	-	2685	129	165	159	587
gene-YBL013W	NC_001134.8	202056	203261	+	1206	20	23	4	16
gene-YBL011W	NC_001134.8	203538	205817	+	2280	196	262	139	469
gene-YBL010C	NC_001134.8	206107	206949	-	843	37	146	19	85
gene-YBL009W	NC_001134.8	207194	209224	+	2031	90	285	36	131
gene-YBL008W-A	NC_001134.8	209409	209648	+	240	1	2	1	0
gene-YBL008W	NC_001134.8	209653	212175	+	2523	50	70	31	127
gene-YBL007C	NC_001134.8	212632	216366	-	3735	1882	1926	114	436
gene-YBL006C	NC_001134.8	216587	217129	-	543	421	605	91	334
gene-YBL005W	NC_001134.8	217470	220400	+	2931	183	190	49	178
gene-YBL005W-A	NC_001134.8	221330	222652	+	1323	0	0	0	0
gene-YBL005W-B	NC_001134.8	221330	226598	+	5269	8	5	1	3
gene-YNCB0006W	NC_001134.8	227075	227156	+	82	0	0	0	0
gene-YBL004W	NC_001134.8	227636	235117	+	7482	282	326	459	1468
gene-YBL003C	NC_001134.8	235394	235792	-	399	106	3142	18	1797
gene-YBL002W	NC_001134.8	236492	236887	+	396	76	2028	68	2154
gene-YBL001C	NC_001134.8	237153	237467	-	315	2090	1754	49	159
gene-YBR001C	NC_001134.8	238941	241283	-	2343	559	448	63	242
gene-YBR002C	NC_001134.8	241708	242568	-	861	92	100	146	669
gene-YBR003W	NC_001134.8	242809	244230	+	1422	74	197	20	87
gene-YBR004C	NC_001134.8	244366	245667	-	1302	1129	639	103	328
gene-YBR005W	NC_001134.8	245906	246547	+	642	1196	920	75	284
gene-YBR006W	NC_001134.8	247010	248503	+	1494	829	818	22	83
gene-YBR007C	NC_001134.8	248806	251016	-	2211	67	116	54	180
gene-YBR008C	NC_001134.8	252563	254209	-	1647	250	285	63	185
gene-YBR009C	NC_001134.8	255373	255684	-	312	416	4404	128	2532
gene-YBR010W	NC_001134.8	256331	256741	+	411	831	5738	778	4769
gene-YBR011C	NC_001134.8	257112	257975	-	864	3326	6556	780	3331
gene-YBR012W-A	NC_001134.8	259869	261191	+	1323	0	0	0	0
gene-YBR012W-B	NC_001134.8	259869	265140	+	5272	7	3	1	3
gene-YBR013C	NC_001134.8	265492	265881	-	390	25	18	23	57
gene-YNCB0007W	NC_001134.8	266378	266450	+	73	0	0	0	0
gene-YBR014C	NC_001134.8	266725	267336	-	612	349	490	161	557
gene-YBR015C	NC_001134.8	267710	269503	-	1794	586	936	248	794
gene-YBR016W	NC_001134.8	270247	270633	+	387	1775	1473	88	345
gene-YBR017C	NC_001134.8	270947	273703	-	2757	460	636	321	1094
gene-YBR018C	NC_001134.8	274427	275527	-	1101	24	16	1	8
gene-YBR019C	NC_001134.8	276253	278352	-	2100	5	4	0	5
gene-YNCB0008W	NC_001134.8	276805	280645	+	3841	18	13	8	21
gene-YBR020W	NC_001134.8	279021	280607	+	1587	0	0	0	0
gene-YBR021W	NC_001134.8	281443	283344	+	1902	132	81	489	1717
gene-YBR022W	NC_001134.8	283738	284271	+	534	98	149	41	133
gene-YBR023C	NC_001134.8	284428	287925	-	3498	180	198	171	507
gene-YBR024W	NC_001134.8	289445	290350	+	906	281	518	29	82
gene-YBR025C	NC_001134.8	290681	291865	-	1185	6116	6691	1566	5681
gene-YBR026C	NC_001134.8	292877	294019	-	1143	12436	7803	174	386
gene-YBR027C	NC_001134.8	294024	294356	-	333	64	23	9	12
gene-YBR028C	NC_001134.8	294425	296002	-	1578	33	60	159	475
gene-YBR029C	NC_001134.8	296369	297742	-	1374	1170	1407	204	672
gene-YBR030W	NC_001134.8	298292	299950	+	1659	147	229	120	401
gene-YBR031W	NC_001134.8	300166	301254	+	1089	916	2540	1031	3748
gene-YBR032W	NC_001134.8	301519	301821	+	303	7	7	2	23
gene-YBR033W	NC_001134.8	301944	304703	+	2760	122	257	24	188
gene-YBR034C	NC_001134.8	304930	305976	-	1047	135	137	706	1685
gene-YBR035C	NC_001134.8	306269	306955	-	687	1672	1995	146	537
gene-YNCB0009C	NC_001134.8	307185	307345	-	161	1	2	2	3
gene-YNCB0010W	NC_001134.8	307587	308887	+	1301	835	1407	56	196
gene-YBR036C	NC_001134.8	309081	310313	-	1233	3621	3218	232	792
gene-YBR037C	NC_001134.8	310565	311452	-	888	66	272	17	72
gene-YBR038W	NC_001134.8	311898	314789	+	2892	398	605	9	64
gene-YBR039W	NC_001134.8	315575	316510	+	936	7827	9483	189	760
gene-YBR040W	NC_001134.8	316968	317864	+	897	0	1	0	1
gene-YBR041W	NC_001134.8	318266	320275	+	2010	147	194	57	241
gene-YBR042C	NC_001134.8	320416	321609	-	1194	23	55	31	133
gene-YBR043C	NC_001134.8	321876	323945	-	2070	892	518	116	408
gene-YBR044C	NC_001134.8	324341	326059	-	1719	215	243	37	134
gene-YNCB0011C	NC_001134.8	326792	326865	-	74	0	1	0	0
gene-YBR045C	NC_001134.8	328173	330092	-	1920	522	244	14	48
gene-YBR046C	NC_001134.8	330507	331511	-	1005	3710	3641	73	318
gene-YBR047W	NC_001134.8	331833	332360	+	528	418	808	25	116
gene-YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	1181	2242	1891	7482
gene-YBR049C	NC_001134.8	334386	336818	-	2433	440	702	79	267
gene-YBR050C	NC_001134.8	337183	338199	-	1017	4878	2749	58	105
gene-YBR052C	NC_001134.8	338720	339352	-	633	507	1190	11	109
gene-YBR053C	NC_001134.8	339675	340751	-	1077	2583	2799	34	131
gene-YBR054W	NC_001134.8	343101	344135	+	1035	11363	5479	794	2887
gene-YBR055C	NC_001134.8	344602	347301	-	2700	111	177	131	379
gene-YNCB0012W	NC_001134.8	347603	347686	+	84	0	0	1	0
gene-YBR056W	NC_001134.8	347879	349384	+	1506	3721	3218	50	162
gene-YNCB0013W	NC_001134.8	350827	350898	+	72	0	0	0	0
gene-YBR056W-A	NC_001134.8	351255	351455	+	201	1347	796	25	96
gene-YBR057C	NC_001134.8	352193	353293	-	1101	789	652	137	388
gene-YBR058C	NC_001134.8	353672	356017	-	2346	1341	1058	120	426
gene-YBR058C-A	NC_001134.8	356324	356566	-	243	570	702	112	361
gene-YBR059C	NC_001134.8	356861	360187	-	3327	2134	1680	54	214
gene-YBR060C	NC_001134.8	360652	362514	-	1863	136	271	96	335
gene-YBR061C	NC_001134.8	364787	365719	-	933	123	161	296	923
gene-YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	901	950	60	225
gene-YBR063C	NC_001134.8	366970	368184	-	1215	122	109	166	686
gene-YBR065C	NC_001134.8	368584	369678	-	1095	186	125	136	402
gene-YBR066C	NC_001134.8	370037	370699	-	663	138	389	28	108
gene-YBR067C	NC_001134.8	372103	372735	-	633	32216	12330	419	687
gene-YBR068C	NC_001134.8	373861	375690	-	1830	6451	2300	1717	3643
gene-YBR069C	NC_001134.8	376574	378433	-	1860	8	4	5	11
gene-YNCB0014W	NC_001134.8	376610	378633	+	2024	13	6	16	27
gene-YBR070C	NC_001134.8	379221	379934	-	714	121	377	3	20
gene-YBR071W	NC_001134.8	380411	381046	+	636	1053	1436	19	90
gene-YBR072W	NC_001134.8	382030	382674	+	645	125180	91655	1444	3269
gene-YBR072C-A	NC_001134.8	382860	383021	-	162	2	0	0	3
gene-YBR073W	NC_001134.8	383112	385988	+	2877	30	58	9	16
gene-YBR074W	NC_001134.8	386286	389216	+	2931	169	235	155	488
gene-YBR076W	NC_001134.8	390227	391291	+	1065	286	148	3	16
gene-YBR077C	NC_001134.8	391805	392293	-	489	707	646	69	202
gene-YBR078W	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	3664	8463	570	2263
gene-YBR079C	NC_001134.8	395383	398277	-	2895	1090	1810	897	2637
gene-YBR080C	NC_001134.8	398614	400890	-	2277	212	500	117	357
gene-YBR081C	NC_001134.8	401253	405251	-	3999	530	761	77	316
gene-YNCB0015W	NC_001134.8	405878	405949	+	72	0	0	0	0
gene-YNCB0016W	NC_001134.8	405960	406031	+	72	0	0	0	0
gene-YBR082C	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	1184	4420	711	2360
gene-YBR083W	NC_001134.8	409169	410629	+	1461	379	250	36	101
gene-YBR084W	NC_001134.8	411054	413981	+	2928	117	622	441	1525
gene-YBR084C-A	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	2780	4201	2516	10336
gene-YBR085W	NC_001134.8	415983	416906	+	924	2	6	8	16
gene-YBR085C-A	NC_001134.8	418907	419164	-	258	15892	12835	377	1133
gene-YBR086C	NC_001134.8	420201	423041	-	2841	984	1030	108	408
gene-YBR087W	NC_001134.8	423765	424829	+	1065	78	402	27	142
gene-YBR088C	NC_001134.8	424990	425766	-	777	41	449	9	76
gene-YBR089C-A	NC_001134.8	426190	426489	-	300	1020	1203	18	69
gene-YBR090C	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	39	32	1	4
gene-YBR091C	NC_001134.8	427155	427484	-	330	30	58	26	125
gene-YBR092C	NC_001134.8	427698	429101	-	1404	75	220	19	77
gene-YBR093C	NC_001134.8	429548	430951	-	1404	179	173	17	36
gene-YBR094W	NC_001134.8	432036	434297	+	2262	245	264	30	105
gene-YBR095C	NC_001134.8	434406	435698	-	1293	315	477	84	320
gene-YBR096W	NC_001134.8	436021	436713	+	693	51	169	50	280
gene-YBR097W	NC_001134.8	436951	441315	+	4365	292	285	11	59
gene-YBR098W	NC_001134.8	441515	443590	+	2076	122	164	20	65
gene-YBR101C	NC_001134.8	443821	444693	-	873	6502	16370	194	944
gene-YBR102C	NC_001134.8	445062	447323	-	2262	237	321	48	182
gene-YBR103W	NC_001134.8	447709	449316	+	1608	467	578	55	195
gene-YBR104W	NC_001134.8	449667	450656	+	990	235	218	122	568
gene-YBR105C	NC_001134.8	450881	451969	-	1089	237	278	1723	4517
gene-YBR106W	NC_001134.8	452658	453224	+	567	285	1411	841	3150
gene-YBR107C	NC_001134.8	453793	454530	-	738	57	74	32	142
gene-YBR108W	NC_001134.8	454822	457665	+	2844	601	573	51	155
gene-YBR109C	NC_001134.8	457919	458362	-	444	2911	3302	274	1147
gene-YBR110W	NC_001134.8	458872	460221	+	1350	257	437	47	160
gene-YBR111C	NC_001134.8	461178	461873	-	696	1339	1607	68	301
gene-YBR111W-A	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	219	272	62	213
gene-YBR112C	NC_001134.8	462870	465770	-	2901	157	322	122	457
gene-YBR114W	NC_001134.8	467248	469620	+	2373	170	154	385	1094
gene-YBR115C	NC_001134.8	469748	473926	-	4179	671	701	181	604
gene-YBR117C	NC_001134.8	474392	476437	-	2046	2039	1127	61	190
gene-YBR118W	NC_001134.8	477671	479047	+	1377	8322	14263	3073	11181
gene-YBR119W	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	511	550	125	454
gene-YBR120C	NC_001134.8	480435	480923	-	489	359	509	35	131
gene-YBR121C	NC_001134.8	481364	483367	-	2004	1577	3612	1024	3125
gene-YBR122C	NC_001134.8	483970	484503	-	534	283	937	92	397
gene-YBR123C	NC_001134.8	484742	486691	-	1950	328	384	44	162
gene-YBR125C	NC_001134.8	487199	488380	-	1182	450	398	36	162
gene-YBR126C	NC_001134.8	488905	490392	-	1488	6099	5617	99	265
gene-YBR126W-A	NC_001134.8	490850	491056	+	207	906	1272	87	320
gene-YBR127C	NC_001134.8	491269	492822	-	1554	7130	6292	776	2701
gene-YBR128C	NC_001134.8	493081	494115	-	1035	312	263	4	36
gene-YBR129C	NC_001134.8	494353	495339	-	987	733	434	64	241
gene-YBR130C	NC_001134.8	495592	496869	-	1278	90	241	72	344
gene-YBR131W	NC_001134.8	497163	499277	+	2115	22	43	48	156
gene-YBR132C	NC_001134.8	499652	501442	-	1791	640	550	8	39
gene-YBR133C	NC_001134.8	501804	504287	-	2484	139	178	66	291
